presentation_sequence,analysis_role,region_vantage,case_id,model_id,family_id,tier_id,position_id,repeat,included_in_primary_accuracy,automatic_retry_allowed
143,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:end:r3,deepseek-v4-flash,multi_hop_join,32k,end,3,true,false
144,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:middle:r1,deepseek-v4-flash,multi_hop_join,32k,middle,1,true,false
145,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:middle:r2,deepseek-v4-flash,multi_hop_join,32k,middle,2,true,false
146,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:middle:r3,deepseek-v4-flash,multi_hop_join,32k,middle,3,true,false
147,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:beginning:r1,deepseek-v4-flash,multi_hop_join,512k,beginning,1,true,false
148,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:beginning:r2,deepseek-v4-flash,multi_hop_join,512k,beginning,2,true,false
149,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:beginning:r3,deepseek-v4-flash,multi_hop_join,512k,beginning,3,true,false
150,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:end:r1,deepseek-v4-flash,multi_hop_join,512k,end,1,true,false
151,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:end:r2,deepseek-v4-flash,multi_hop_join,512k,end,2,true,false
152,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:end:r3,deepseek-v4-flash,multi_hop_join,512k,end,3,true,false
153,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:middle:r1,deepseek-v4-flash,multi_hop_join,512k,middle,1,true,false
154,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:middle:r2,deepseek-v4-flash,multi_hop_join,512k,middle,2,true,false
155,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:512k:middle:r3,deepseek-v4-flash,multi_hop_join,512k,middle,3,true,false
156,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:beginning:r1,deepseek-v4-flash,multi_hop_join,950k,beginning,1,true,false
157,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:beginning:r2,deepseek-v4-flash,multi_hop_join,950k,beginning,2,true,false
158,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:beginning:r3,deepseek-v4-flash,multi_hop_join,950k,beginning,3,true,false
159,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:end:r1,deepseek-v4-flash,multi_hop_join,950k,end,1,true,false
160,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:end:r2,deepseek-v4-flash,multi_hop_join,950k,end,2,true,false
161,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:end:r3,deepseek-v4-flash,multi_hop_join,950k,end,3,true,false
162,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:middle:r1,deepseek-v4-flash,multi_hop_join,950k,middle,1,true,false
163,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:middle:r2,deepseek-v4-flash,multi_hop_join,950k,middle,2,true,false
164,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:950k:middle:r3,deepseek-v4-flash,multi_hop_join,950k,middle,3,true,false
165,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:beginning:r1,deepseek-v4-flash,single_record,128k,beginning,1,true,false
166,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:beginning:r2,deepseek-v4-flash,single_record,128k,beginning,2,true,false
167,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:beginning:r3,deepseek-v4-flash,single_record,128k,beginning,3,true,false
168,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:end:r1,deepseek-v4-flash,single_record,128k,end,1,true,false
169,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:end:r2,deepseek-v4-flash,single_record,128k,end,2,true,false
170,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:end:r3,deepseek-v4-flash,single_record,128k,end,3,true,false
171,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:middle:r1,deepseek-v4-flash,single_record,128k,middle,1,true,false
172,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:middle:r2,deepseek-v4-flash,single_record,128k,middle,2,true,false
173,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:128k:middle:r3,deepseek-v4-flash,single_record,128k,middle,3,true,false
174,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r1,deepseek-v4-flash,single_record,32k,beginning,1,true,false
175,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r2,deepseek-v4-flash,single_record,32k,beginning,2,true,false
176,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:beginning:r3,deepseek-v4-flash,single_record,32k,beginning,3,true,false
177,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r1,deepseek-v4-flash,single_record,32k,end,1,true,false
178,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r2,deepseek-v4-flash,single_record,32k,end,2,true,false
179,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:end:r3,deepseek-v4-flash,single_record,32k,end,3,true,false
180,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r1,deepseek-v4-flash,single_record,32k,middle,1,true,false
181,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r2,deepseek-v4-flash,single_record,32k,middle,2,true,false
182,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r3,deepseek-v4-flash,single_record,32k,middle,3,true,false
183,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:beginning:r1,deepseek-v4-flash,single_record,512k,beginning,1,true,false
184,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:beginning:r2,deepseek-v4-flash,single_record,512k,beginning,2,true,false
185,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:beginning:r3,deepseek-v4-flash,single_record,512k,beginning,3,true,false
186,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:end:r1,deepseek-v4-flash,single_record,512k,end,1,true,false
187,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:end:r2,deepseek-v4-flash,single_record,512k,end,2,true,false
188,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:end:r3,deepseek-v4-flash,single_record,512k,end,3,true,false
189,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:middle:r1,deepseek-v4-flash,single_record,512k,middle,1,true,false
190,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:middle:r2,deepseek-v4-flash,single_record,512k,middle,2,true,false
191,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:512k:middle:r3,deepseek-v4-flash,single_record,512k,middle,3,true,false
192,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r1,deepseek-v4-flash,single_record,950k,beginning,1,true,false
193,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r2,deepseek-v4-flash,single_record,950k,beginning,2,true,false
194,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:beginning:r3,deepseek-v4-flash,single_record,950k,beginning,3,true,false
195,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r1,deepseek-v4-flash,single_record,950k,end,1,true,false
196,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r2,deepseek-v4-flash,single_record,950k,end,2,true,false
197,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r3,deepseek-v4-flash,single_record,950k,end,3,true,false
198,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r1,deepseek-v4-flash,single_record,950k,middle,1,true,false
199,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r2,deepseek-v4-flash,single_record,950k,middle,2,true,false
200,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r3,deepseek-v4-flash,single_record,950k,middle,3,true,false
201,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:beginning:r1,deepseek-v4-pro,event_ordering,128k,beginning,1,true,false
202,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:beginning:r2,deepseek-v4-pro,event_ordering,128k,beginning,2,true,false
203,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:beginning:r3,deepseek-v4-pro,event_ordering,128k,beginning,3,true,false
204,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:end:r1,deepseek-v4-pro,event_ordering,128k,end,1,true,false
205,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:end:r2,deepseek-v4-pro,event_ordering,128k,end,2,true,false
206,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:end:r3,deepseek-v4-pro,event_ordering,128k,end,3,true,false
207,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:middle:r1,deepseek-v4-pro,event_ordering,128k,middle,1,true,false
208,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:middle:r2,deepseek-v4-pro,event_ordering,128k,middle,2,true,false
209,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:128k:middle:r3,deepseek-v4-pro,event_ordering,128k,middle,3,true,false
210,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:beginning:r1,deepseek-v4-pro,event_ordering,32k,beginning,1,true,false
211,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:beginning:r2,deepseek-v4-pro,event_ordering,32k,beginning,2,true,false
212,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:beginning:r3,deepseek-v4-pro,event_ordering,32k,beginning,3,true,false
213,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:end:r1,deepseek-v4-pro,event_ordering,32k,end,1,true,false
214,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:end:r2,deepseek-v4-pro,event_ordering,32k,end,2,true,false
215,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:end:r3,deepseek-v4-pro,event_ordering,32k,end,3,true,false
216,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:middle:r1,deepseek-v4-pro,event_ordering,32k,middle,1,true,false
217,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:middle:r2,deepseek-v4-pro,event_ordering,32k,middle,2,true,false
218,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:middle:r3,deepseek-v4-pro,event_ordering,32k,middle,3,true,false
219,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:beginning:r1,deepseek-v4-pro,event_ordering,512k,beginning,1,true,false
220,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:beginning:r2,deepseek-v4-pro,event_ordering,512k,beginning,2,true,false
221,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:beginning:r3,deepseek-v4-pro,event_ordering,512k,beginning,3,true,false
222,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:end:r1,deepseek-v4-pro,event_ordering,512k,end,1,true,false
223,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:end:r2,deepseek-v4-pro,event_ordering,512k,end,2,true,false
224,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:end:r3,deepseek-v4-pro,event_ordering,512k,end,3,true,false
225,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:middle:r1,deepseek-v4-pro,event_ordering,512k,middle,1,true,false
226,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:middle:r2,deepseek-v4-pro,event_ordering,512k,middle,2,true,false
227,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:512k:middle:r3,deepseek-v4-pro,event_ordering,512k,middle,3,true,false
228,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:beginning:r1,deepseek-v4-pro,event_ordering,950k,beginning,1,true,false
229,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:beginning:r2,deepseek-v4-pro,event_ordering,950k,beginning,2,true,false
230,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:beginning:r3,deepseek-v4-pro,event_ordering,950k,beginning,3,true,false
231,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:end:r1,deepseek-v4-pro,event_ordering,950k,end,1,true,false
232,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:end:r2,deepseek-v4-pro,event_ordering,950k,end,2,true,false
233,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:end:r3,deepseek-v4-pro,event_ordering,950k,end,3,true,false
234,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:middle:r1,deepseek-v4-pro,event_ordering,950k,middle,1,true,false
235,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:middle:r2,deepseek-v4-pro,event_ordering,950k,middle,2,true,false
236,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:950k:middle:r3,deepseek-v4-pro,event_ordering,950k,middle,3,true,false
237,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:beginning:r1,deepseek-v4-pro,latest_version,128k,beginning,1,true,false
238,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:beginning:r2,deepseek-v4-pro,latest_version,128k,beginning,2,true,false
239,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:beginning:r3,deepseek-v4-pro,latest_version,128k,beginning,3,true,false
240,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:end:r1,deepseek-v4-pro,latest_version,128k,end,1,true,false
241,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:end:r2,deepseek-v4-pro,latest_version,128k,end,2,true,false
242,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:end:r3,deepseek-v4-pro,latest_version,128k,end,3,true,false
243,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:middle:r1,deepseek-v4-pro,latest_version,128k,middle,1,true,false
244,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:middle:r2,deepseek-v4-pro,latest_version,128k,middle,2,true,false
245,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:128k:middle:r3,deepseek-v4-pro,latest_version,128k,middle,3,true,false
246,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:beginning:r1,deepseek-v4-pro,latest_version,32k,beginning,1,true,false
247,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:beginning:r2,deepseek-v4-pro,latest_version,32k,beginning,2,true,false
248,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:beginning:r3,deepseek-v4-pro,latest_version,32k,beginning,3,true,false
249,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:end:r1,deepseek-v4-pro,latest_version,32k,end,1,true,false
250,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:end:r2,deepseek-v4-pro,latest_version,32k,end,2,true,false
251,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:end:r3,deepseek-v4-pro,latest_version,32k,end,3,true,false
252,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:middle:r1,deepseek-v4-pro,latest_version,32k,middle,1,true,false
253,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:middle:r2,deepseek-v4-pro,latest_version,32k,middle,2,true,false
254,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:middle:r3,deepseek-v4-pro,latest_version,32k,middle,3,true,false
255,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:beginning:r1,deepseek-v4-pro,latest_version,512k,beginning,1,true,false
256,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:beginning:r2,deepseek-v4-pro,latest_version,512k,beginning,2,true,false
257,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:beginning:r3,deepseek-v4-pro,latest_version,512k,beginning,3,true,false
258,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:end:r1,deepseek-v4-pro,latest_version,512k,end,1,true,false
259,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:end:r2,deepseek-v4-pro,latest_version,512k,end,2,true,false
260,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:end:r3,deepseek-v4-pro,latest_version,512k,end,3,true,false
261,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:middle:r1,deepseek-v4-pro,latest_version,512k,middle,1,true,false
262,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:middle:r2,deepseek-v4-pro,latest_version,512k,middle,2,true,false
263,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:512k:middle:r3,deepseek-v4-pro,latest_version,512k,middle,3,true,false
264,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:beginning:r1,deepseek-v4-pro,latest_version,950k,beginning,1,true,false
265,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:beginning:r2,deepseek-v4-pro,latest_version,950k,beginning,2,true,false
266,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:beginning:r3,deepseek-v4-pro,latest_version,950k,beginning,3,true,false
267,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:end:r1,deepseek-v4-pro,latest_version,950k,end,1,true,false
268,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:end:r2,deepseek-v4-pro,latest_version,950k,end,2,true,false
269,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:end:r3,deepseek-v4-pro,latest_version,950k,end,3,true,false
270,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:middle:r1,deepseek-v4-pro,latest_version,950k,middle,1,true,false
271,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:middle:r2,deepseek-v4-pro,latest_version,950k,middle,2,true,false
272,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:950k:middle:r3,deepseek-v4-pro,latest_version,950k,middle,3,true,false
273,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:beginning:r1,deepseek-v4-pro,multi_hop_join,128k,beginning,1,true,false
274,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:beginning:r2,deepseek-v4-pro,multi_hop_join,128k,beginning,2,true,false
275,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:beginning:r3,deepseek-v4-pro,multi_hop_join,128k,beginning,3,true,false
276,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:end:r1,deepseek-v4-pro,multi_hop_join,128k,end,1,true,false
277,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:end:r2,deepseek-v4-pro,multi_hop_join,128k,end,2,true,false
278,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:end:r3,deepseek-v4-pro,multi_hop_join,128k,end,3,true,false
279,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:middle:r1,deepseek-v4-pro,multi_hop_join,128k,middle,1,true,false
280,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:middle:r2,deepseek-v4-pro,multi_hop_join,128k,middle,2,true,false
281,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:128k:middle:r3,deepseek-v4-pro,multi_hop_join,128k,middle,3,true,false
282,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:beginning:r1,deepseek-v4-pro,multi_hop_join,32k,beginning,1,true,false
283,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:beginning:r2,deepseek-v4-pro,multi_hop_join,32k,beginning,2,true,false
284,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:beginning:r3,deepseek-v4-pro,multi_hop_join,32k,beginning,3,true,false
285,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:end:r1,deepseek-v4-pro,multi_hop_join,32k,end,1,true,false
286,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:end:r2,deepseek-v4-pro,multi_hop_join,32k,end,2,true,false
287,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:end:r3,deepseek-v4-pro,multi_hop_join,32k,end,3,true,false
288,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:middle:r1,deepseek-v4-pro,multi_hop_join,32k,middle,1,true,false
289,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:middle:r2,deepseek-v4-pro,multi_hop_join,32k,middle,2,true,false
